,geometry,AdmUnitId,infektionenGesamt,todeGesamt,infektionenNeu,todeNeu,infektionen7Tage,inzidenz7Tage,verwaltungseinheit
55,,8128,4716,85,39,0,115,86.9,LK Main-Tauber-Kreis
56,,8135,5028,142,115,1,350,263.6,LK Heidenheim
57,,8136,13575,345,281,8,752,239.5,LK Ostalbkreis
58,,8211,1859,57,12,0,86,155.8,SK Baden-Baden
59,,8212,9685,185,147,0,475,152.2,SK Karlsruhe
60,,8215,16686,438,149,1,680,152.8,LK Karlsruhe
61,,8216,8964,163,74,3,378,163.3,LK Rastatt
62,,8221,4776,57,16,0,101,62.5,SK Heidelberg
63,,8222,14911,285,99,1,625,201.2,SK Mannheim
64,,8225,5639,129,52,0,246,171.3,LK Neckar-Odenwald-Kreis
65,,8226,20603,378,164,0,836,152.5,LK Rhein-Neckar-Kreis
66,,8231,6603,171,40,2,315,250.1,SK Pforzheim
67,,8235,7380,160,119,1,378,237.4,LK Calw
68,,8236,8462,232,63,0,432,216.5,LK Enzkreis
69,,8237,4740,146,42,0,264,223.3,LK Freudenstadt
70,,8311,6796,147,42,0,209,90.4,SK Freiburg i.Breisgau
71,,8315,7890,175,23,0,159,60.3,LK Breisgau-Hochschwarzwald
72,,8316,5759,156,33,0,137,82.3,LK Emmendingen
73,,8317,17303,530,157,2,522,121.1,LK Ortenaukreis
74,,8325,6750,152,80,0,309,220.9,LK Rottweil
75,,8326,8309,195,75,0,542,255.1,LK Schwarzwald-Baar-Kreis
76,,8327,6584,134,98,2,404,287.0,LK Tuttlingen
77,,8335,10558,267,79,0,407,142.2,LK Konstanz
78,,8336,9102,284,107,0,253,110.6,LK Lörrach
79,,8337,6655,199,55,0,225,131.6,LK Waldshut
80,,8415,12273,252,82,0,535,186.4,LK Reutlingen
81,,8416,8364,170,117,0,444,194.2,LK Tübingen
82,,8417,7624,158,127,1,504,266.2,LK Zollernalbkreis
83,,8421,5028,72,115,1,329,259.5,SK Ulm
84,,8425,7746,168,126,0,406,206.0,LK Alb-Donau-Kreis
85,,8426,7530,158,136,1,482,239.5,LK Biberach
86,,8435,6836,146,121,1,367,168.8,LK Bodenseekreis
87,,8436,9518,124,213,1,500,175.2,LK Ravensburg
88,,8437,4949,77,54,1,264,201.8,LK Sigmaringen
89,,9161,5500,99,38,0,256,186.3,SK Ingolstadt
90,,9162,67909,1171,305,4,1899,127.9,SK München
91,,9163,3652,58,16,0,96,151.1,SK Rosenheim
92,,9171,5546,203,40,0,208,186.5,LK Altötting
93,,9172,5505,99,34,0,149,140.7,LK Berchtesgadener Land
94,,9173,4646,71,23,0,204,159.5,LK Bad Tölz-Wolfratshausen
95,,9174,7743,135,40,0,225,145.3,LK Dachau
96,,9175,5891,174,66,0,228,158.7,LK Ebersberg
97,,9176,4700,79,34,2,164,123.4,LK Eichstätt
98,,9177,6556,109,29,1,213,154.1,LK Erding
99,,9178,7781,122,49,0,265,147.2,LK Freising
100,,3351,4292,63,52,0,165,92.2,LK Celle
101,,3352,4347,167,47,0,114,57.6,LK Cuxhaven
102,,3353,6120,106,33,0,197,77.4,LK Harburg
103,,3354,713,24,18,0,45,93.0,LK Lüchow-Dannenberg
104,,3355,3106,55,31,0,149,80.9,LK Lüneburg
105,,3356,2495,58,14,0,77,67.6,LK Osterholz
106,,3357,3586,81,32,0,171,104.4,LK Rotenburg (Wümme)
107,,3358,3128,99,25,0,129,91.7,LK Heidekreis
108,,3359,4579,114,53,0,189,92.4,LK Stade
109,,3360,2078,110,14,3,53,57.4,LK Uelzen
110,,3361,3589,53,9,0,109,79.5,LK Verden
111,,3401,3120,62,27,0,146,188.2,SK Delmenhorst
112,,3402,962,7,0,0,37,74.1,SK Emden
113,,3403,3858,44,23,0,146,86.4,SK Oldenburg
114,,3404,6879,93,33,0,218,131.9,SK Osnabrück
115,,3405,1779,47,11,0,55,72.3,SK Wilhelmshaven
116,,3451,2885,61,17,0,121,96.9,LK Ammerland
117,,3452,3159,50,23,0,94,49.6,LK Aurich
118,,3453,10151,151,31,1,232,135.9,LK Cloppenburg
119,,3454,11847,175,57,0,316,96.6,LK Emsland
120,,3455,1519,40,7,0,34,34.4,LK Friesland
121,,3456,4888,113,40,0,250,182.3,LK Grafschaft Bentheim
122,,3457,4096,55,28,1,156,91.4,LK Leer
123,,3458,4658,108,32,0,117,89.4,LK Oldenburg
124,,3459,14543,290,90,0,420,117.3,LK Osnabrück
125,,3460,8144,83,56,0,401,280.8,LK Vechta
126,,3461,3050,105,12,1,72,81.3,LK Wesermarsch
127,,3462,1137,32,7,0,18,31.6,LK Wittmund
